⛄️央视频道,#genre#

CCTV-1,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV-2,http://218.204.51.252:9901/tsfile/live/1007_1.m3u8
CCTV-2,http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV-3,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://218.204.51.252:9901/tsfile/live/1008_1.m3u8
CCTV-3,http://111.59.63.32:9901/tsfile/live/1010_1.m3u8
CCTV-4,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8
CCTV-4,http://183.63.15.42:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://218.204.51.252:9901/tsfile/live/1009_1.m3u8
CCTV-5,http://218.204.51.252:9901/tsfile/live/1010_1.m3u8
CCTV-5,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV-5,http://183.63.15.42:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV-6,http://183.63.15.42:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://218.204.51.252:9901/tsfile/live/1011_1.m3u8
CCTV-7,http://183.63.15.42:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://111.59.63.32:9901/tsfile/live/1014_1.m3u8
CCTV-7,http://218.204.51.252:9901/tsfile/live/1012_1.m3u8
CCTV-8,http://218.204.51.252:9901/tsfile/live/1013_1.m3u8
CCTV-8,http://111.59.63.32:9901/tsfile/live/1015_1.m3u8
CCTV-8,http://183.63.15.42:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://218.204.51.252:9901/tsfile/live/1014_1.m3u8
CCTV-9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8
CCTV-9,http://112.19.214.90:8883/tsfile/live/0009_1.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-10,http://218.204.51.252:9901/tsfile/live/1015_1.m3u8
CCTV-10,http://112.19.214.90:8883/tsfile/live/0010_1.m3u8
CCTV-11,http://218.204.51.252:9901/tsfile/live/1016_1.m3u8
CCTV-11,http://112.19.214.90:8883/tsfile/live/0011_1.m3u8
CCTV-12,http://218.204.51.252:9901/tsfile/live/1017_1.m3u8
CCTV-12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV-13,http://218.204.51.252:9901/tsfile/live/1018_1.m3u8
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV-13,http://112.19.214.90:8883/tsfile/live/0013_1.m3u8
CCTV-13,http://111.59.63.32:9901/tsfile/live/1020_1.m3u8
CCTV-14,http://111.59.63.32:9901/tsfile/live/1021_1.m3u8
CCTV-14,http://218.204.51.252:9901/tsfile/live/1019_1.m3u8
CCTV-15,http://111.59.63.32:9901/tsfile/live/1022_1.m3u8
CCTV-15,http://218.204.51.252:9901/tsfile/live/1020_1.m3u8
CCTV-16,http://111.11.123.37:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3
CCTV-16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-16,http://111.11.123.31:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=bestzb&Contentid=5000000008000023254
CCTV-17,http://112.19.214.90:8883/tsfile/live/0019_1.m3u8
CCTV-17,http://111.59.63.32:9901/tsfile/live/1023_1.m3u8
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
CCTV美洲,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv4a
CCTV欧洲,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv4o


CCTV-1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1,http://hls.ye23.vip/hls/cctv1hd.m3u8
CCTV-1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2,http://hls.ye23.vip/hls/cctv2hd.m3u8
CCTV-2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
